Predicted; Actual
34.9853;37.4000
33.8049;33.0000
34.9031;36.0000
33.3914;40.9000
32.6047;35.1000
34.2234;20.6000
34.7680;39.1000
33.8779;32.0000
33.6320;32.1000
33.8316;45.0000
35.3249;44.1000
33.2387;42.7000
32.7270;40.8000
38.3391;34.7000
33.6486;38.0000
26.4573;26.5000
33.4323;37.6000
34.4764;37.8000
31.4290;35.4000
36.8355;41.6000
33.3083;27.5000
34.4642;35.3000
32.5831;20.7000
33.9975;35.3000
32.8617;27.3000
32.5643;24.5000
33.6717;31.4000
34.2746;27.6000
32.2727;29.5000
34.5544;32.5000
32.8775;25.5000
34.3964;16.4000
29.4554;27.9000
35.3385;31.5000
32.0347;38.7000
33.4572;31.1000
33.8054;29.9000
27.1657;17.3000
25.8378;28.8000
27.2600;36.7000
26.1008;24.7000
26.8182;32.1000
28.3851;32.7000
26.9457;37.6000
32.8447;33.3000
28.0284;28.7000
28.2302;15.9000
26.0807;24.1000
33.1007;32.8000
27.1729;34.1000
28.8721;26.9000
33.6529;11.8000
27.4734;32.0000
26.3289;26.3000
28.4543;28.6000
29.6374;42.2000
32.7771;21.9000
31.9405;47.6000
28.1116;27.7000
33.1588;48.5000
32.2044;43.9000
26.2788;15.2000
30.9976;30.7000
28.5279;18.4000
28.2516;28.0000
33.0462;39.2000
27.1319;27.0000
31.4564;26.5000
34.3292;31.3000
36.8981;30.7000
27.3214;26.5000
27.1733;17.5000
29.5858;20.1000
34.9781;47.4000
28.3957;20.4000
30.7890;32.8000
28.3805;0.9000
32.2737;25.6000
33.4410;33.7000
32.9363;34.1000
27.3666;38.6000
35.4449;41.3000
32.9912;32.2000
27.4014;33.1000
35.7159;22.9000
26.7986;7.1000
35.4990;45.5000
31.3066;41.9000
29.3230;36.6000
30.3463;41.3000
27.2328;27.4000
33.3533;36.8000
36.5007;30.3000
36.6411;42.2000
35.4590;32.3000
35.3307;37.4000
28.0147;28.9000
35.2639;39.6000
27.4775;38.0000
35.0558;35.9000
27.3551;30.1000
35.2849;42.5000
31.7828;40.2000
26.6657;24.2000
30.1622;38.8000
30.9797;33.0000
33.4652;39.3000
33.3813;34.9000
30.4029;30.3000
33.6827;35.0000
31.9432;34.4000
27.1029;25.1000
29.3330;39.5000
29.5100;32.1000
29.9316;26.6000
30.3394;29.0000
26.4499;24.5000
26.2171;26.0000
31.6728;31.3000
29.6030;19.0000
33.0233;30.2000
28.6533;22.4000
32.8647;31.6000
25.6583;6.1000
31.1681;27.0000
27.2467;20.3000
34.6774;30.1000
34.1203;35.0000
32.5299;29.4000
30.7223;22.5000
30.4029;28.8000
32.2789;39.4000
29.0136;28.3000
29.8326;33.0000
26.1411;31.7000
27.2683;30.4000
27.7389;27.1000
32.1620;7.0000
33.0817;37.6000
33.6053;32.9000
33.0803;34.8000
25.9130;23.4000
33.8922;39.0000
31.3692;56.6000
33.5984;47.8000
33.3148;29.6000
27.5475;32.9000
33.2398;32.6000
30.7168;28.3000
29.7160;32.3000
30.7690;39.6000
28.5797;26.8000
28.5868;48.6000
27.3554;9.5000
29.6942;42.3000
30.6183;21.9000
29.0936;27.2000
29.1995;30.8000
27.6982;30.7000
26.8560;12.2000
28.7250;27.4000
29.0148;14.7000
28.8026;30.0000
29.1210;26.7000
30.2122;21.7000
28.7076;46.0000
30.7266;21.4000
26.9621;31.6000
32.8337;40.9000
28.9422;32.7000
27.2903;29.4000
27.8746;44.1000
29.5702;34.1000
27.7478;33.3000
27.8043;20.9000
29.1270;31.6000
27.9226;18.2000
33.8220;36.0000
34.5282;43.6000
29.9389;21.7000
31.2143;41.7000
32.0748;33.6000
31.6051;34.3000
28.4720;40.7000
27.9454;29.8000
31.2793;25.5000
28.7549;31.6000
34.0359;23.6000
26.6834;35.3000
27.7284;21.1000
29.9500;26.3000
28.4916;30.6000
28.2006;33.8000
30.9947;22.7000
32.9760;31.6000
32.3596;10.0000
27.3054;12.1000
29.6035;27.7000
28.2732;37.6000
30.7121;33.4000
22.4884;24.9000
26.6843;25.5000
29.0989;23.6000
24.8022;27.5000
29.2220;28.0000
29.2318;26.8000
24.7939;24.4000
27.8349;23.9000
26.5406;25.1000
26.0121;25.1000
26.5991;25.9000
23.5656;31.8000
25.1414;28.7000
27.2136;32.0000
27.7251;29.3000
29.0348;32.1000
28.2524;28.1000
26.2499;22.5000
26.7396;25.6000
27.2507;25.4000
28.3259;28.3000
23.1919;34.8000
23.2818;21.8000
25.3377;25.0000
28.3515;30.5000
26.4068;30.6000
28.4686;23.4000
27.7776;28.6000
25.0604;16.2000
25.5957;26.8000
28.8937;34.3000
24.9507;24.6000
22.9238;24.1000
26.4380;27.8000
28.3261;30.3000
25.1104;26.2000
25.5628;30.6000
25.2401;23.9000
27.4158;28.6000
26.3085;25.6000
23.7952;20.0000
24.9775;26.3000
24.0732;23.5000
24.7689;26.9000
25.1030;23.8000
26.1158;23.1000
27.5864;23.6000
28.6280;23.4000
27.6030;24.2000
29.4176;32.9000
25.3868;21.8000
24.6188;24.8000
25.6665;27.8000
24.8661;26.2000
25.5759;19.6000
24.5026;32.5000
28.6108;26.6000
24.8337;32.0000
25.3234;24.1000
25.0696;25.2000
25.5390;15.2000
27.1104;37.4000
27.3438;29.4000
27.4839;25.2000
26.2966;19.2000
26.3058;26.2000
26.8550;31.2000
26.3671;21.9000
27.3270;36.5000
27.1597;30.6000
27.0466;30.0000
28.9117;27.8000
27.8750;23.0000
27.4502;29.4000
27.2832;34.7000
28.4749;26.9000
28.6994;29.8000
28.6339;31.0000
29.0235;17.7000
28.0398;24.5000
28.0666;14.0000
28.3256;23.9000
28.6795;26.3000
28.6795;32.3000
28.8599;31.3000
28.9577;29.2000
29.3740;23.1000
29.0074;30.9000
28.5479;26.2000
28.9057;28.8000
27.8485;26.9000
28.9577;30.4000
27.3545;26.7000
29.2621;24.2000
26.5369;35.9000
28.2198;31.9000
28.8643;27.2000
29.9351;31.0000
28.6304;24.8000
27.6536;25.8000
35.0303;34.6000
35.5680;50.6000
31.0805;36.5000
33.0724;40.9000
31.3047;33.4000
32.4954;31.3000
34.4342;44.7000
25.7581;27.2000
24.9855;22.3000
29.2831;25.7000
26.2280;23.5000
24.9198;25.4000
24.5524;15.2000
24.7148;19.2000
26.4679;19.3000
25.8089;14.6000
35.5022;37.8000
24.8009;20.0000
23.9071;15.3000
34.2683;34.8000
25.5066;29.5000
26.0788;19.9000
34.1266;29.1000
25.6402;21.9000
33.8519;32.3000
25.2221;31.8000
34.2106;49.8000
24.9001;23.4000
33.4379;36.4000
29.0877;42.4000
32.5329;30.8000
25.8327;28.8000
25.0021;24.6000
27.8639;24.8000
27.8477;24.3000
25.0191;37.1000
31.5051;28.8000
24.3299;28.2000
32.6705;27.9000
30.6996;33.0000
26.8121;35.5000
34.0554;37.2000
30.1190;13.4000
33.1542;22.2000
32.5988;46.0000
32.7524;33.9000
31.3558;35.4000
35.5786;31.4000
32.8192;37.9000
30.5790;34.9000
32.7074;29.4000
37.2070;36.1000
37.8356;45.6000
33.6422;44.9000
31.5660;40.7000
31.4255;43.4000
38.3574;40.6000
24.9275;29.9000
24.2423;30.2000
23.7425;23.5000
25.0067;28.0000
25.6679;23.4000
33.5435;29.7000
25.1345;17.2000
25.3074;23.0000
25.0889;26.5000
26.1251;23.4000
31.8951;29.2000
25.1879;31.6000
24.9553;26.3000
27.1682;32.6000
33.8887;28.9000
27.2764;18.4000
27.1431;23.2000
30.9446;37.5000
23.5471;24.3000
34.7549;33.4000
32.6752;32.0000
26.4845;10.0000
33.4877;36.2000
31.0501;34.3000
44.3848;39.7000
26.2364;24.5000
31.7622;27.4000
32.2655;32.7000
27.5851;26.2000
26.4833;20.4000
26.3312;24.6000
34.6334;34.5000
27.8202;31.6000
26.0724;20.8000
34.2148;32.8000
28.2863;26.1000
29.0493;24.4000
34.5492;28.5000
28.7713;30.2000
30.2737;30.1000
30.0394;25.0000
33.3552;27.7000
29.5343;31.6000
32.6370;32.0000
30.5237;38.4000
31.9220;36.6000
31.8026;28.4000
29.1747;20.3000
30.6817;42.5000
32.6752;29.7000
34.1902;38.7000
35.3426;24.9000
30.9345;36.1000
32.0420;40.8000
34.9716;29.6000
32.3600;24.7000
32.4533;32.6000
32.9048;42.6000
32.9106;33.5000
35.0721;38.8000
32.0357;53.8000
32.3508;28.6000
35.3007;31.6000
32.2500;20.1000
34.9620;37.7000
32.7581;44.9000
34.7372;41.4000
33.3135;28.7000
32.5978;31.4000
29.9051;36.2000
33.7224;39.0000
33.1121;37.3000
30.0703;12.9000
32.4887;40.5000
29.9558;46.2000
28.1808;29.4000
29.2827;31.7000
22.7379;18.3000
26.8597;22.7000
27.7755;23.2000
23.2354;16.1000
22.0589;19.4000
22.0104;9.0000
20.9939;21.1000
20.3441;17.9000
23.3358;30.9000
22.4838;26.6000
23.4036;23.3000
23.2077;27.9000
23.0002;19.9000
23.1123;29.9000
22.7993;20.7000
23.7064;16.7000
27.6041;30.7000
23.1123;14.3000
28.1460;34.1000
24.3608;26.3000
25.8480;23.0000
23.5396;23.4000
23.8609;19.5000
23.5846;28.3000
25.2006;25.7000
29.8338;31.0000
28.0689;37.4000
25.4931;24.9000
28.4511;31.2000
28.6243;30.1000
23.4329;18.6000
29.6882;30.9000
31.1259;29.8000
28.5641;31.2000
29.6166;34.7000
29.5866;28.7000
29.8750;27.9000
30.3522;29.9000
28.5738;30.4000
28.4360;31.2000
29.4627;32.9000
25.9399;27.4000
26.3220;34.7000
29.4763;34.2000
29.4760;32.0000
29.4956;37.4000
30.3075;29.9000
29.4105;31.2000
26.5415;26.6000
29.9451;30.2000
26.7893;26.8000
28.6277;31.9000
28.7219;34.4000
28.8168;30.6000
26.7510;24.5000
26.8383;29.9000
26.8383;29.7000
27.1669;28.4000
27.9224;20.1000
26.4506;40.8000
26.0697;31.6000
24.1523;16.3000
33.4866;37.4000
23.9961;11.4000
24.9470;8.7000
22.7613;19.2000
23.8757;30.9000
32.7333;26.2000
24.6076;9.7000
24.2085;1.0000
24.3904;0.5000
27.0840;34.0000
24.2181;25.2000
33.3271;33.6000
25.8061;25.1000
33.4887;18.0000
32.9356;27.8000
29.7909;49.0000
26.6427;30.0000
33.6276;39.6000
27.8492;34.9000
31.8916;13.8000
34.4525;40.3000
27.4031;30.4000
33.1068;32.7000
28.6789;16.9000
32.2863;28.0000
34.1444;40.1000
27.7547;38.5000
33.5900;36.9000
27.6513;34.4000
34.8400;33.4000
27.2767;30.8000
31.9203;46.1000
30.3027;28.1000
30.8990;45.3000
31.9365;29.1000
33.5546;33.4000
31.0634;29.4000
31.5000;27.4000
35.4399;30.9000
35.1698;46.0000
36.1049;31.8000
33.2666;27.0000
33.0001;28.3000
33.5942;28.9000
33.8586;39.5000
32.1103;29.7000
36.2285;24.5000
34.8424;45.7000
35.6011;36.4000
35.0512;33.6000
34.0160;39.3000
33.8079;48.4000
34.7853;46.5000
32.5084;27.2000
33.3716;30.1000
33.2543;28.5000
32.7807;28.3000
35.9282;37.6000
33.8745;31.2000
32.9101;26.0000
33.2364;37.9000
34.0091;27.4000
27.5595;26.9000
26.1089;17.7000
33.2266;29.4000
30.0691;32.3000
26.2525;36.2000
29.4653;33.4000
32.6961;30.6000
29.7762;37.3000
29.1344;27.1000
26.0518;45.0000
25.9860;23.3000
34.2631;28.8000
27.7510;36.5000
25.2832;23.2000
26.6298;28.7000
27.2285;14.2000
27.1895;39.9000
27.7503;27.1000
28.0652;37.1000
27.5148;27.7000
34.0561;26.8000
27.5796;32.3000
26.9621;30.2000
31.4801;24.2000
26.6628;56.0000
25.5299;30.8000
24.0847;34.9000
26.5561;37.3000
26.9442;26.0000
30.3982;16.8000
27.9568;9.0000
28.4698;21.0000
27.2679;30.3000
27.2544;24.7000
29.5405;5.0000
30.6305;5.8000
33.9921;40.6000
26.1929;33.1000
31.6570;39.1000
29.4173;26.4000
34.0634;33.2000
30.1518;36.7000
29.6799;26.4000
28.0568;28.4000
25.3327;19.8000
28.2070;26.9000
29.4233;46.9000
27.7031;33.9000
27.3113;21.3000
28.0631;23.3000
25.5871;30.4000
33.0898;32.5000
30.1997;16.9000
28.6848;33.3000
33.1009;43.5000
33.5452;34.0000
32.4890;33.0000
29.1987;24.7000
31.2253;42.4000
35.1639;27.3000
33.7456;34.8000
35.2016;53.7000
34.0601;30.2000
30.5938;31.2000
29.9767;19.3000
34.9381;30.1000
33.7305;31.6000
30.4881;27.0000
31.5771;37.0000
34.4633;26.7000
30.6672;33.6000
33.1456;18.0000
35.5159;38.8000
34.2078;27.2000
32.2097;39.4000
29.9528;33.2000
32.3265;34.9000
33.3087;30.7000
34.7680;36.7000
35.1077;28.1000
34.2168;30.1000
34.5378;16.3000
33.5168;17.1000
31.4556;28.1000
34.8784;38.8000
32.3231;40.9000
28.8271;37.0000
29.5555;28.2000
31.3509;37.0000
30.1489;31.8000
29.2325;19.6000
33.6730;27.1000
30.1489;34.9000
32.0010;39.3000
31.5168;35.9000
30.4322;38.1000
31.6575;32.8000
30.1013;41.6000
29.9011;46.4000
29.3062;34.0000
29.3455;35.2000
30.2589;20.6000
27.8273;23.6000
28.3530;27.9000
28.8427;27.5000
29.4584;32.3000
30.3491;27.5000
26.8526;22.0000
30.4313;31.0000
27.5926;28.8000
28.9443;32.7000
30.5734;29.9000
30.2809;32.0000
29.0368;26.6000
28.9475;28.2000
29.9392;40.1000
27.8627;24.5000
27.6285;22.3000
27.8724;26.2000
21.8018;12.0000
29.6852;29.3000
30.4250;23.6000
29.6617;33.5000
28.4537;29.8000
29.4025;28.6000
30.7729;31.2000
29.6986;39.1000
27.3292;31.1000
28.8538;29.6000
25.5535;11.1000
30.2004;28.3000
29.5901;32.3000
29.4242;26.3000
30.5734;22.2000
29.2474;27.6000
27.2695;24.7000
28.7398;43.3000
29.2225;26.5000
28.9744;26.6000
24.9757;3.0000
29.2925;26.8000
30.9427;29.7000
30.7569;31.7000
29.2381;30.8000
29.7205;32.6000
29.5303;30.8000
30.1904;33.9000
28.9516;31.8000
30.6405;32.7000
28.2799;21.4000
29.0809;27.6000
26.0105;16.5000
27.5195;29.3000
18.1015;20.8000
21.8387;15.0000
21.1569;23.1000
21.8862;19.3000
19.9641;14.3000
19.5473;17.2000
19.6839;11.2000
18.5926;11.2000
18.2616;12.5000
21.0342;22.1000
28.0559;31.3000
23.8934;27.9000
30.4791;25.0000
30.1235;25.3000
30.3229;50.1000
29.9484;29.8000
29.8421;27.3000
30.0940;29.6000
29.1162;24.6000
29.2123;36.9000
29.6889;23.3000
25.2158;29.4000
27.3671;35.3000
25.8592;28.3000
24.5289;25.6000
25.3818;31.5000
29.1948;35.7000
26.8667;34.0000
30.7945;27.6000
25.8592;28.7000
29.5952;24.5000
29.7270;30.5000
25.1548;28.9000
24.2775;22.3000
26.2361;18.8000
30.4773;35.9000
29.7746;29.3000
28.3431;32.7000
28.0970;28.1000
27.1527;37.1000
28.6650;18.2000
27.8929;31.3000
28.5637;31.7000
28.1918;27.4000
28.3436;31.0000
28.3026;25.9000
28.2642;29.1000
25.3818;30.1000
