Predicted; Actual
31.9935;37.4000
34.2290;33.0000
31.6741;36.0000
30.3430;40.9000
29.2314;35.1000
31.4954;20.6000
34.8597;39.1000
34.1901;32.0000
32.5598;32.1000
32.1651;45.0000
33.0866;44.1000
33.3541;42.7000
33.3659;40.8000
35.7410;34.7000
33.4685;38.0000
26.5698;26.5000
34.0736;37.6000
34.2538;37.8000
34.0876;35.4000
34.6185;41.6000
33.7117;27.5000
32.8174;35.3000
33.6006;20.7000
34.1520;35.3000
33.8690;27.3000
33.7391;24.5000
30.6068;31.4000
34.4128;27.6000
33.1329;29.5000
31.1634;32.5000
30.1500;25.5000
31.2665;16.4000
25.2339;27.9000
32.5930;31.5000
28.7976;38.7000
33.5619;31.1000
32.2502;29.9000
27.2869;17.3000
27.1927;28.8000
27.8108;36.7000
26.8990;24.7000
26.2781;32.1000
24.9445;32.7000
27.0906;37.6000
29.1809;33.3000
30.7436;28.7000
28.7697;15.9000
26.6934;24.1000
29.6682;32.8000
26.8106;34.1000
32.4716;26.9000
33.7610;11.8000
31.0122;32.0000
24.9465;26.3000
27.3423;28.6000
31.5465;42.2000
31.2338;21.9000
33.1712;47.6000
28.8536;27.7000
34.1351;48.5000
33.0672;43.9000
28.5008;15.2000
29.4437;30.7000
30.4453;18.4000
27.7532;28.0000
31.4946;39.2000
31.2971;27.0000
30.2129;26.5000
32.1950;31.3000
34.6317;30.7000
28.0942;26.5000
27.4679;17.5000
27.4400;20.1000
33.4460;47.4000
29.3529;20.4000
28.6295;32.8000
25.1340;0.9000
33.4815;25.6000
31.7369;33.7000
31.7675;34.1000
27.2317;38.6000
33.3521;41.3000
32.2028;32.2000
26.8436;33.1000
34.4808;22.9000
26.7462;7.1000
32.7678;45.5000
30.7608;41.9000
29.4789;36.6000
33.3729;41.3000
28.0585;27.4000
31.9954;36.8000
34.0008;30.3000
35.2675;42.2000
33.8979;32.3000
33.6107;37.4000
28.7474;28.9000
33.7843;39.6000
28.2306;38.0000
33.0120;35.9000
25.3912;30.1000
31.9422;42.5000
33.4648;40.2000
24.6880;24.2000
30.5753;38.8000
32.0332;33.0000
32.3124;39.3000
32.6750;34.9000
31.7071;30.3000
33.9998;35.0000
33.5114;34.4000
29.7805;25.1000
30.4547;39.5000
29.6892;32.1000
29.5435;26.6000
32.1967;29.0000
26.1602;24.5000
24.7586;26.0000
34.5977;31.3000
30.2470;19.0000
29.4530;30.2000
28.6106;22.4000
32.4564;31.6000
20.7061;6.1000
32.8717;27.0000
25.1071;20.3000
32.2890;30.1000
34.4292;35.0000
33.9550;29.4000
