type,age_firstborn,days_milking,lact_count,insemination,age,imported,yield
3,26,36,3,0,49,1,37.4
3,23,38,3,0,47,1,33
3,26,122,3,1,61,1,36
3,26,98,3,1,60,1,40.9
3,25,153,3,2,58,1,35.1
3,26,18,3,0,49,1,20.6
3,23,59,3,0,48,1,39.1
3,22,53,3,0,47,1,32
3,25,13,3,0,48,1,32.1
3,25,30,3,0,50,1,45
3,25,60,3,0,50,1,44.1
3,24,29,3,0,49,1,42.7
3,21,32,3,0,45,1,40.8
3,20,115,3,1,44,1,34.7
3,24,35,3,0,49,1,38
3,25,281,3,4,58,1,26.5
3,24,17,3,0,47,1,37.6
3,24,34,3,0,47,1,37.8
3,24,499,3,7,71,1,35.4
3,24,86,3,0,49,1,41.6
3,24,23,3,0,48,1,27.5
3,25,26,3,0,48,1,35.3
3,23,16,3,0,47,1,20.7
3,22,48,3,0,46,1,35.3
3,23,30,3,0,48,1,27.3
3,23,25,3,0,48,1,24.5
3,26,153,3,2,56,1,31.4
3,21,66,3,0,46,1,27.6
3,22,14,3,0,46,1,29.5
3,26,95,3,0,60,1,32.5
3,24,95,3,1,59,1,25.5
3,25,109,3,1,57,1,16.4
3,24,168,3,4,57,1,27.9
3,24,121,3,1,57,1,31.5
3,24,147,3,3,57,1,38.7
3,24,592,3,6,70,1,31.1
3,22,573,3,4,71,1,29.9
3,23,358,3,4,58,1,17.3
3,23,250,3,1,58,1,28.8
3,23,335,3,5,57,1,36.7
3,25,232,3,6,58,1,24.7
3,25,318,3,2,61,1,32.1
3,24,179,3,3,59,1,32.7
3,25,246,3,2,58,1,37.6
3,27,198,3,1,60,1,33.3
3,23,390,3,5,69,1,28.7
3,24,418,3,4,63,1,15.9
3,23,325,3,2,58,1,24.1
3,26,73,3,0,59,1,32.8
3,25,262,3,2,59,1,34.1
3,26,295,3,1,73,0,26.9
3,25,588,3,6,69,0,11.8
3,26,259,3,1,69,0,32
3,23,164,3,3,65,0,26.3
3,22,338,3,3,67,0,28.6
3,26,428,3,4,67,0,42.2
3,25,76,3,0,59,0,21.9
3,26,501,3,5,67,0,47.6
3,24,362,3,2,66,0,27.7
3,25,514,3,8,66,0,48.5
3,25,473,3,7,65,0,43.9
3,26,241,3,3,65,0,15.2
3,28,278,3,1,63,0,30.7
3,24,37,3,0,60,0,18.4
3,26,308,3,2,63,0,28
3,28,70,3,0,62,0,39.2
3,23,22,3,0,61,0,27
3,26,55,3,0,59,0,26.5
3,26,88,3,1,54,0,31.3
3,25,99,3,0,53,0,30.7
3,25,287,3,5,58,0,26.5
3,24,306,3,2,59,0,17.5
3,27,274,3,1,60,0,20.1
3,26,60,3,0,52,0,47.4
3,24,320,3,6,59,0,20.4
3,19,239,3,2,59,0,32.8
3,24,166,3,4,59,0,0.9
3,24,69,3,1,52,0,25.6
3,25,80,3,0,58,0,33.7
3,27,186,3,0,57,0,34.1
3,24,281,3,1,57,0,38.6
3,25,115,3,1,57,0,41.3
3,24,75,3,0,57,0,32.2
3,25,308,3,2,57,0,33.1
3,25,128,3,1,57,0,22.9
3,23,216,3,1,57,0,7.1
3,24,116,3,2,57,0,45.5
3,26,35,3,0,57,0,41.9
3,23,308,3,5,56,0,36.6
3,24,28,3,0,54,0,41.3
3,25,239,3,2,56,0,27.4
3,25,152,3,2,56,0,36.8
